Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Supercedes),Outward issue link (Supercedes),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Fix Content-Types for nosniff header,LIVY-1026,13636159,,Bug,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,gyogal,gyogal,gyogal,06/Dec/25 18:05,07/Dec/25 04:04,19/Dec/25 04:15,07/Dec/25 03:53,,,,0.9.0,,,,,,,,,,,,0,,,,,,"In LIVY-785 the `X-Content-Type-Options: nosniff` HTTP header was added, however this breaks transferring some files where the Content-Type is not correctly specified.",,"gyogal opened a new pull request, #502:
URL: https://github.com/apache/incubator-livy/pull/502

   ## What changes were proposed in this pull request?
   
   In LIVY-785 the `X-Content-Type-Options: nosniff` HTTP header was added, however this breaks transferring some files where the Content-Type is not correctly specified.
   
   ## How was this patch tested?
   
   Tested by running the server locally.


;06/Dec/25 18:11;githubbot;600","gyogal merged PR #502:
URL: https://github.com/apache/incubator-livy/pull/502


;07/Dec/25 03:53;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1200,,,0,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Sun Dec 07 04:04:01 UTC 2025,,,,,,,,,,"0|z1yxi0:",9223372036854775807,,,,,,,,,,,,,,,,,,,"07/Dec/25 04:04;gyogal;PR: https://github.com/apache/incubator-livy/pull/502;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleanup Python2InterpreterSpec post Python 2 deprecation,LIVY-1025,13635962,,Task,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,arnavb123,arnavbalyan,arnavbalyan,04/Dec/25 16:03,04/Dec/25 20:24,19/Dec/25 04:15,04/Dec/25 20:24,,,,0.10.0,,,,,,,,,,,,0,,,,,,Removes stray test left over from python2 deprecation ,,"ArnavBalyan opened a new pull request, #501:
URL: https://github.com/apache/incubator-livy/pull/501

   ## What changes were proposed in this pull request?
   - Cleans up Python2InterpreterSpec since python 2 is deprecated.
   - Also removed the Python2SessionSpec counterpart
   
   ## How was this patch tested?
    - CI
    
   Please review https://livy.incubator.apache.org/community/ before opening a pull request.
   


;04/Dec/25 16:11;githubbot;600","gyogal merged PR #501:
URL: https://github.com/apache/incubator-livy/pull/501


;04/Dec/25 20:23;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1200,,,0,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Dec 04 20:24:21 UTC 2025,,,,,,,,,,"0|z1ywa8:",9223372036854775807,,,,,,,,,,,,,,,,,,,"04/Dec/25 20:24;gyogal;PR: https://github.com/apache/incubator-livy/pull/501;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade Livy to Python 3,LIVY-1024,13635910,,Task,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,arnavb123,arnavbalyan,arnavbalyan,04/Dec/25 04:50,04/Dec/25 15:05,19/Dec/25 04:15,04/Dec/25 15:05,,,,0.10.0,,,,,,,,,,,,0,,,,,,"Since Spark 2 is deprecated, upgrading Livy to Python3 ",,"gyogal merged PR #485:
URL: https://github.com/apache/incubator-livy/pull/485


;04/Dec/25 15:04;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600,,,0,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Dec 04 15:05:36 UTC 2025,,,,,,,,,,"0|z1yvyo:",9223372036854775807,,,,,,,,,,,,,,,,,,,"04/Dec/25 15:05;gyogal;PR: https://github.com/apache/incubator-livy/pull/485;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
init script missing quote,LIVY-1023,13635875,,Improvement,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,appodictic,appodictic,appodictic,03/Dec/25 17:13,16/Dec/25 19:31,19/Dec/25 04:15,03/Dec/25 20:34,,,,0.9.0,,,,,,,,,,,,0,,,,,,https://github.com/apache/incubator-livy/pull/500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,2025-12-03 17:13:28.0,,,,,,,,,,"0|z1yvqw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix failing UT due to disk usage issues,LIVY-1022,13635637,,Task,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,arnavb123,arnavbalyan,arnavbalyan,01/Dec/25 16:37,01/Dec/25 19:58,19/Dec/25 04:15,01/Dec/25 19:58,,,,0.10.0,,,,,,,,,,,,0,,,,,,"JobApiIT.scala fails due to ~92% disk usage causing the node to be marked unhealthy, ensure that UT can go through with this. ",,"gyogal merged PR #498:
URL: https://github.com/apache/incubator-livy/pull/498


;01/Dec/25 19:57;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600,,,0,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Dec 01 17:05:15 UTC 2025,,,,,,,,,,"0|z1yua0:",9223372036854775807,,,,,,,,,,,,,,,,,,,"01/Dec/25 17:05;gyogal;A pull request is available at https://github.com/apache/incubator-livy/pull/498;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing Apache Links on Website,LIVY-1020,13632422,,Bug,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,lmccay,lmccay,lmccay,24/Oct/25 17:48,06/Dec/25 20:35,19/Dec/25 04:15,06/Dec/25 20:18,,,,,,Docs,,,,,,,,,,0,graduation,,,,,"""https://whimsy.apache.org/pods/ shows you missing a spot for the ASF events and the privacy link""

We can just use the ASF security link for QU30 in the maturity model.
",,"lmccay opened a new pull request, #30:
URL: https://github.com/apache/incubator-livy-website/pull/30

   This change adds missing links for Privacy and Events to the Apache navigation menu as required for graduation.
   


;06/Dec/25 19:49;githubbot;600","lmccay merged PR #30:
URL: https://github.com/apache/incubator-livy-website/pull/30


;06/Dec/25 19:49;githubbot;600","lmccay opened a new pull request, #31:
URL: https://github.com/apache/incubator-livy-website/pull/31

   The release process doc was not being referenced in the site links so unless you knew it was there and manually navigated to it, it was hidden.


;06/Dec/25 20:35;githubbot;600","lmccay merged PR #31:
URL: https://github.com/apache/incubator-livy-website/pull/31


;06/Dec/25 20:35;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2400,,,0,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Sat Dec 06 20:17:59 UTC 2025,,,,,,,,,,"0|z1yam8:",9223372036854775807,,,,,,,,,,,,,,,,,,,"06/Dec/25 19:25;lmccay;Okay, double checked that the site includes a Security link to the Apache Security Page.
That is done already.;;;","06/Dec/25 20:17;lmccay;I have updated the live site with links to all the missing required pages.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deprecate Spark 2 Support ,LIVY-1019,13632380,,Improvement,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,arnavb123,arnavb123,arnavb123,24/Oct/25 09:15,14/Nov/25 01:47,19/Dec/25 04:15,14/Nov/25 01:47,,,,0.10.0,,,,,,,,,,,,0,,,,,,Tracking Spark 2 deprecation,,"ArnavBalyan opened a new pull request, #489:
URL: https://github.com/apache/incubator-livy/pull/489

   ## What changes were proposed in this pull request?
    - Spark 2.x is at end of life and no longer supported, newer Spark versions (Spark 4) are now available.
    - Deprecate Spark 2.x from Livy
    
   ## How was this patch tested?
    - CI and local builds are successful
   


;24/Oct/25 09:20;githubbot;600","ArnavBalyan commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3442209917

   cc @gyogal @lmccay could you ptal thanks!


;24/Oct/25 09:48;githubbot;600","gyogal commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3444566740

   Thank you for your PR @ArnavBalyan! This could be an important step of cleaning up unneeded features in an upcoming release. The change is quite big, so it will take some time to review. In the meantime, can I ask why you chose Spark version 3.3.4 in the main `pom.xml` and in `README.md`? The latest version should work with 3.5.6, but Spark 3.5.7 is already available as well.


;24/Oct/25 19:17;githubbot;600","ArnavBalyan commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3444656331

   > Thank you for your PR @ArnavBalyan! This could be an important step of cleaning up unneeded features in an upcoming release. The change is quite big, so it will take some time to review. In the meantime, can I ask why you chose Spark version 3.3.4 in the main `pom.xml` and in `README.md`? The latest version should work with 3.5.6, but Spark 3.5.7 is already available as well.
   
   Hi @gyogal thanks so much, really appreciate it. For Spark, looks like `3.3.4` was the latest version that shipped hadoop 2 binaries. Moving to 3.5.7 may need us to bump to hadoop 3, was a bit unsure if this would have any side effects since this was getting a considerably large change. Let me know if we are comfortable directly moving to hadoop 3 happy to update. Thanks for taking a look


;24/Oct/25 19:38;githubbot;600","gyogal commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3444753257

   > For Spark, looks like `3.3.4` was the latest version that shipped hadoop 2 binaries. Moving to 3.5.7 may need us to bump to hadoop 3, was a bit unsure if this would have any side effects since this was getting a considerably large change. Let me know if we are comfortable directly moving to hadoop 3 happy to update. Thanks for taking a look
   
   Oh right, it makes sense now, thanks! In #478 it has already been changed to version 3 in the `spark3` profile, so I think that should be OK. Alternatively, it could be done in a follow-up change later on.


;24/Oct/25 20:11;githubbot;600","ArnavBalyan commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3448438244

   > > For Spark, looks like `3.3.4` was the latest version that shipped hadoop 2 binaries. Moving to 3.5.7 may need us to bump to hadoop 3, was a bit unsure if this would have any side effects since this was getting a considerably large change. Let me know if we are comfortable directly moving to hadoop 3 happy to update. Thanks for taking a look
   > 
   > Oh right, it makes sense now, thanks! In #478 it has already been changed to version 3 in the `spark3` profile, so I think that should be OK. Alternatively, it could be done in a follow-up change later on.
   
   Thanks @gyogal I can bump it up as a follow up change if it looks good to you?


;26/Oct/25 11:27;githubbot;600","ArnavBalyan commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3454106861

   cc @gyogal gentle reminder thanks! 😀


;28/Oct/25 01:50;githubbot;600","gyogal commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3481723877

   @ArnavBalyan , I think both this and the Python 3 commit could be merged after `branch-0.9` is created. That would mean that the upcoming 0.9 release would still retain support, but the cleanup work can be started in preparation for the release afterwards. Please let me know what you think!


;03/Nov/25 17:35;githubbot;600","ArnavBalyan commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3486239496

   Hi @gyogal thanks for taking a look! Makes perfect sense, will wait until we do the release. Let me know if you need support with release


;04/Nov/25 14:18;githubbot;600","gyogal commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3508957784

   Hi @ArnavBalyan , the main Livy version has been updated to 0.10-incubating-SNAPSHOT, however this caused some conflicts in your PR. Could you please resolve them? Once that is done, I think this could be merged into version 0.10-incubating.


;09/Nov/25 23:47;githubbot;600","ArnavBalyan commented on PR #489:
URL: https://github.com/apache/incubator-livy/pull/489#issuecomment-3527359027

   Thanks @gyogal! Will rebase it shortly


;13/Nov/25 11:24;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6600,,,0,6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri Nov 14 01:47:06 UTC 2025,,,,,,,,,,"0|z1yacw:",9223372036854775807,,,,,,,,,,,,,,,,,,,"14/Nov/25 01:47;gyogal;Issue resolved by the PR at https://github.com/apache/incubator-livy/pull/489;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract field comments from Spark schema metadata and set in Datatypeutils,LIVY-1018,13630284,,Improvement,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Trivial,Fixed,arnavb123,arnavb123,arnavb123,30/Sep/25 04:04,07/Oct/25 14:32,19/Dec/25 04:15,07/Oct/25 14:30,,,,0.9.0,,,,,,,,,,,,0,,,,,,"* Remove the todo comment and pass the actual comment metadata for complexToDataType and schemaFromSparkJson
 ",,"ArnavBalyan commented on PR #482:
URL: https://github.com/apache/incubator-livy/pull/482#issuecomment-3349865985

   > @ArnavBalyan Thanks for adding the JIRA ticket to the PR description, however is LIVY-483 related to this issue? (It seems to be about sparkR memory configuration.) If a new issue is needed and you don't have a JIRA user yet, could you please request one?
   
   @gyogal updated could you PTAL thanks


;30/Sep/25 04:05;githubbot;600","ArnavBalyan commented on PR #482:
URL: https://github.com/apache/incubator-livy/pull/482#issuecomment-3361991283

   cc @gyogal gentle reminder thanks!


;02/Oct/25 16:01;githubbot;600","gyogal commented on PR #482:
URL: https://github.com/apache/incubator-livy/pull/482#issuecomment-3368241783

   Hi @ArnavBalyan , I was able to confirm that with your change the comments are populated for struct member fields on the server side, however I was not able to find a way to read this information with a JDBC client. Could you please let me know which client or API would allow me to check this on the client side?


;04/Oct/25 13:37;githubbot;600","ArnavBalyan commented on PR #482:
URL: https://github.com/apache/incubator-livy/pull/482#issuecomment-3370403058

   Hi @gyogal I've added a UT which should be able to e2e test the change thanks


;06/Oct/25 08:08;githubbot;600","ArnavBalyan commented on PR #482:
URL: https://github.com/apache/incubator-livy/pull/482#issuecomment-3375067306

   > Thank you for adding tests! Please let me know if this is the final version of your change.
   > 
   > Just a note, it would be even better if there was a way to extract and validate the ""Person ID"", ""Person name"", etc. comments from the struct members.
   
   Thanks, this is the final version of the change, I'll check if we can add recursive extraction in a future change


;07/Oct/25 03:34;githubbot;600","gyogal commented on PR #482:
URL: https://github.com/apache/incubator-livy/pull/482#issuecomment-3377139674

   Sounds good! Thank you @ArnavBalyan once again for your contribution!


;07/Oct/25 14:23;githubbot;600","gyogal merged PR #482:
URL: https://github.com/apache/incubator-livy/pull/482


;07/Oct/25 14:30;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4200,,,0,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Tue Oct 07 14:32:15 UTC 2025,,,,,,,,,,"0|z1xxf4:",9223372036854775807,,,,,,,,,,,,,,,,,,,"07/Oct/25 14:32;gyogal;PR at https://github.com/apache/incubator-livy/issues/483;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Support Java 17, set up JDK 17 based tests",LIVY-1017,13622773,,Improvement,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Major,Fixed,gyogal,gyogal,gyogal,08/Jul/25 07:25,22/Oct/25 15:17,19/Dec/25 04:15,22/Oct/25 15:17,,,,0.9.0,,,,,,,,,,,,0,,,,,,"Enable Livy to run with Java 17, set up unit test and integration test runs with JDK 17",,"gyogal opened a new pull request, #481:
URL: https://github.com/apache/incubator-livy/pull/481

   ## What changes were proposed in this pull request?
   
   Enable Livy to run with Java 17, set up unit test and integration test runs with JDK 17
   
   ## How was this patch tested?
   
   Unit and integration tests.


;12/Aug/25 19:25;githubbot;600","ArnavBalyan commented on PR #481:
URL: https://github.com/apache/incubator-livy/pull/481#issuecomment-3425919011

   Hi @gyogal, thanks for working on this, the change looks good to me. I was planning to take up the Java 8 deprecation next, so I just wanted to check if you’re planning to land this soon? looks like a test is still failing. Thanks!


;21/Oct/25 10:46;githubbot;600","gyogal commented on PR #481:
URL: https://github.com/apache/incubator-livy/pull/481#issuecomment-3426885060

   Thank you very much for the review, @ArnavBalyan ! The checks are currently failing because the test Docker image does not contain JDK 17 yet, it is this change that adds it. After the merge the tests should look fine (I will confirm this and fix it if that is not the case).
   
   Java 8 deprecation would be a great addition, thanks for looking into it! I think anything that impacts compatibility (Python 2, Spark 2, JDK 8 and general cleanup removing old features) could be done in the release following the next one.


;21/Oct/25 14:10;githubbot;600","ArnavBalyan commented on PR #481:
URL: https://github.com/apache/incubator-livy/pull/481#issuecomment-3431049012

   Thanks so much! I'll wait for this PR to land JDK 17, and proceed with the Java 8 deprecation cleanup, let me check the Spark 2 and Python2, there is a PR for Py2 deprecation which should be feasible once Spark 2 is deprecated. 


;22/Oct/25 08:24;githubbot;600","gyogal merged PR #481:
URL: https://github.com/apache/incubator-livy/pull/481


;22/Oct/25 14:29;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3000,,,0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Oct 22 15:16:54 UTC 2025,,,,,,,,,,"0|z1wnf4:",9223372036854775807,,,,,,,,,,,,,,,,,,,"22/Oct/25 15:16;gyogal;PR is available at https://github.com/apache/incubator-livy/pull/481;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use SslContextFactory.Server() instead of SslContextFactory,LIVY-1012,13612811,,Bug,Resolved,LIVY,Livy,software,vanzin,,http://livy.incubator.apache.org/,Critical,Fixed,surendralilhore,surendralilhore,surendralilhore,24/Mar/25 07:12,24/Apr/25 07:55,19/Dec/25 04:15,23/Apr/25 13:49,0.5.0,,,0.9.0,,Server,,,,,,,,,,0,,,,,,"With Jetty 9.4.50, we should call SslContextFactory.Server(), instead of SslContextFactory(), to create SslContextFactory. Otherwise we get the following error when using a KeyStore with multiple certificates in it.
{code:java}
Exception in thread ""main"" java.lang.IllegalStateException: KeyStores with multiple certificates are not supported on the base class org.eclipse.jetty.util.ssl.SslContextFactory. (Use org.eclipse.jetty.util.ssl.
SslContextFactory$Server or org.eclipse.jetty.util.ssl.SslContextFactory$Client instead)
at org.eclipse.jetty.util.ssl.SslContextFactory.newSniX509ExtendedKeyManager(SslContextFactory.java:1289){code}",,"surendralilhore opened a new pull request, #471:
URL: https://github.com/apache/incubator-livy/pull/471

   ## What changes were proposed in this pull request?
   
   Use SslContextFactory.Server() instead of SslContextFactory() when constructing the factory.
   
   ## How was this patch tested?
   
   With Jetty 9.4.50, we should call SslContextFactory.Server(), instead of SslContextFactory(), to create SslContextFactory. Otherwise we get the following error when using a KeyStore with multiple certificates in it.
   
   ```
   Exception in thread ""main"" java.lang.IllegalStateException: KeyStores with multiple certificates are not supported on the base class org.eclipse.jetty.util.ssl.SslContextFactory. (Use org.eclipse.jetty.util.ssl.
   SslContextFactory$Server or org.eclipse.jetty.util.ssl.SslContextFactory$Client instead)
   at org.eclipse.jetty.util.ssl.SslContextFactory.newSniX509ExtendedKeyManager(SslContextFactory.java:1289)
   ```
   
   Please review https://livy.incubator.apache.org/community/ before opening a pull request.
   


;24/Mar/25 07:14;githubbot;600","surendralilhore commented on PR #471:
URL: https://github.com/apache/incubator-livy/pull/471#issuecomment-2824140921

   Thank you, @gyogal , for the review. I have addressed your comment.
   
   Similar fix is present in [hive](https://github.com/apache/hive/blob/28abf17424e97112d75947f1d7a2f043b3961fa4/service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpCLIService.java#L163), and `ThriftHttpCLIService.scala` copy of hive code.


;23/Apr/25 12:34;githubbot;600","gyogal merged PR #471:
URL: https://github.com/apache/incubator-livy/pull/471


;23/Apr/25 13:46;githubbot;600","gyogal commented on PR #471:
URL: https://github.com/apache/incubator-livy/pull/471#issuecomment-2824379257

   Thank you for your contribution @surendralilhore !


;23/Apr/25 13:51;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2400,,,0,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Apr 24 07:55:52 UTC 2025,,,,,,,,,,"0|z1uxz4:",9223372036854775807,,,,,,,,,,,,,,,,,,,"24/Apr/25 04:07;surendralilhore;[~gyogal] , pls can you assign this Jira to me.;;;","24/Apr/25 07:55;gyogal;Done, thanks [~surendralilhore] !;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
